,16 17 17,17 17 17,18 17 17,
600.1,-96.36,-104.269,-99.7294,
600.2,-92.8863,-108.257,-99.4222,
600.3,-89.6081,-112.017,-99.121,
600.4,-86.5129,-115.566,-98.8261,
600.5,-83.5892,-118.915,-98.5376,
600.6,-80.8262,-122.079,-98.2556,
600.7,-78.2137,-125.069,-97.9803,
600.8,-75.7424,-127.895,-97.7116,
600.9,-73.4033,-130.569,-97.4497,
601,-71.1882,-133.099,-97.1944,
601.1,-69.0894,-135.496,-96.9457,
601.2,-67.0997,-137.767,-96.7036,
601.3,-65.2124,-139.92,-96.468,
601.4,-63.4212,-141.962,-96.2388,
601.5,-61.7201,-143.901,-96.0159,
601.6,-60.1037,-145.742,-95.7991,
601.7,-58.5668,-147.492,-95.5885,
601.8,-57.1046,-149.157,-95.3837,
601.9,-55.7126,-150.74,-95.1848,
602,-54.3866,-152.249,-94.9914,
602.1,-53.1226,-153.686,-94.8036,
602.2,-51.917,-155.056,-94.6212,
602.3,-50.7664,-156.363,-94.4439,
602.4,-49.6674,-157.612,-94.2717,
602.5,-48.6171,-158.804,-94.1044,
602.6,-47.6127,-159.945,-93.9419,
602.7,-46.6515,-161.035,-93.784,
602.8,-45.731,-162.08,-93.6305,
602.9,-44.8489,-163.08,-93.4814,
603,-44.0031,-164.04,-93.3365,
603.1,-43.1916,-164.96,-93.1956,
603.2,-42.4123,-165.843,-93.0586,
603.3,-41.6636,-166.692,-92.9254,
603.4,-40.9437,-167.508,-92.7959,
603.5,-40.2512,-168.293,-92.6699,
603.6,-39.5845,-169.048,-92.5473,
603.7,-38.9422,-169.776,-92.428,
603.8,-38.3231,-170.477,-92.3119,
603.9,-37.726,-171.153,-92.1989,
604,-37.1497,-171.806,-92.0889,
604.1,-36.5932,-172.436,-91.9817,
604.2,-36.0555,-173.045,-91.8772,
604.3,-35.5355,-173.633,-91.7755,
604.4,-35.0325,-174.203,-91.6763,
604.5,-34.5456,-174.754,-91.5796,
604.6,-34.0741,-175.288,-91.4853,
604.7,-33.6172,-175.805,-91.3933,
604.8,-33.1742,-176.306,-91.3036,
604.9,-32.7444,-176.793,-91.216,
605,-32.3273,-177.265,-91.1305,
605.1,-31.9224,-177.723,-91.047,
605.2,-31.529,-178.168,-90.9655,
605.3,-31.1466,-178.601,-90.8859,
605.4,-30.7748,-179.022,-90.8081,
605.5,-30.4131,-179.431,-90.732,
605.6,-30.0611,-179.83,-90.6577,
605.7,-29.7184,-180.218,-90.585,
605.8,-29.3846,-180.595,-90.5139,
605.9,-29.0594,-180.963,-90.4444,
606,-28.7424,-181.322,-90.3763,
606.1,-28.4333,-181.672,-90.3097,
606.2,-28.1318,-182.013,-90.2445,
606.3,-27.8376,-182.346,-90.1807,
606.4,-27.5505,-182.671,-90.1182,
606.5,-27.2701,-182.988,-90.0569,
606.6,-26.9963,-183.298,-89.997,
606.7,-26.7288,-183.601,-89.9382,
606.8,-26.4674,-183.897,-89.8806,
606.9,-26.2119,-184.186,-89.8241,
607,-25.9621,-184.469,-89.7687,
607.1,-25.7178,-184.745,-89.7144,
607.2,-25.4789,-185.016,-89.6612,
607.3,-25.245,-185.28,-89.609,
607.4,-25.0162,-185.539,-89.5577,
607.5,-24.7923,-185.793,-89.5074,
607.6,-24.573,-186.041,-89.4581,
607.7,-24.3583,-186.284,-89.4096,
607.8,-24.1481,-186.522,-89.3621,
607.9,-23.9421,-186.755,-89.3154,
608,-23.7403,-186.984,-89.2696,
608.1,-23.5426,-187.208,-89.2245,
608.2,-23.3488,-187.427,-89.1803,
608.3,-23.1589,-187.642,-89.1369,
608.4,-22.9727,-187.853,-89.0942,
608.5,-22.7902,-188.059,-89.0523,
608.6,-22.6112,-188.262,-89.0111,
608.7,-22.4357,-188.461,-88.9706,
608.8,-22.2636,-188.656,-88.9308,
608.9,-22.0947,-188.847,-88.8917,
609,-21.9291,-189.034,-88.8533,
609.1,-21.7666,-189.218,-88.8155,
609.2,-21.6071,-189.399,-88.7783,
609.3,-21.4507,-189.576,-88.7418,
609.4,-21.2971,-189.75,-88.7059,
609.5,-21.1464,-189.92,-88.6705,
609.6,-20.9985,-190.088,-88.6358,
609.7,-20.8534,-190.252,-88.6016,
609.8,-20.7109,-190.414,-88.568,
609.9,-20.571,-190.572,-88.5349,
610,-20.4336,-190.727,-88.5024,
610.1,-20.2987,-190.88,-88.4704,
610.2,-20.1663,-191.03,-88.4389,
610.3,-20.0363,-191.177,-88.408,
610.4,-19.9086,-191.322,-88.3775,
610.5,-19.7832,-191.464,-88.3475,
610.6,-19.6601,-191.603,-88.318,
610.7,-19.5391,-191.74,-88.2889,
610.8,-19.4203,-191.875,-88.2604,
610.9,-19.3036,-192.007,-88.2322,
611,-19.189,-192.137,-88.2046,
611.1,-19.0764,-192.264,-88.1773,
611.2,-18.9658,-192.389,-88.1505,
611.3,-18.8572,-192.512,-88.1241,
611.4,-18.7505,-192.633,-88.0982,
611.5,-18.6456,-192.752,-88.0726,
611.6,-18.5426,-192.869,-88.0474,
611.7,-18.4414,-192.983,-88.0226,
611.8,-18.3419,-193.096,-87.9983,
611.9,-18.2442,-193.207,-87.9742,
612,-18.1482,-193.315,-87.9506,
612.1,-18.0539,-193.422,-87.9273,
612.2,-17.9612,-193.527,-87.9044,
612.3,-17.8701,-193.63,-87.8819,
612.4,-17.7806,-193.732,-87.8597,
612.5,-17.6927,-193.831,-87.8378,
612.6,-17.6063,-193.929,-87.8163,
612.7,-17.5214,-194.025,-87.7951,
612.8,-17.4379,-194.12,-87.7742,
612.9,-17.3559,-194.213,-87.7537,
613,-17.2753,-194.304,-87.7335,
613.1,-17.1961,-194.394,-87.7135,
613.2,-17.1183,-194.482,-87.6939,
613.3,-17.0418,-194.568,-87.6746,
613.4,-16.9666,-194.653,-87.6556,
613.5,-16.8927,-194.737,-87.6369,
613.6,-16.8201,-194.819,-87.6184,
613.7,-16.7487,-194.9,-87.6003,
613.8,-16.6786,-194.98,-87.5824,
613.9,-16.6096,-195.058,-87.5648,
614,-16.5419,-195.134,-87.5475,
614.1,-16.4753,-195.21,-87.5304,
614.2,-16.4098,-195.284,-87.5136,
614.3,-16.3455,-195.357,-87.497,
614.4,-16.2823,-195.428,-87.4807,
614.5,-16.2201,-195.499,-87.4647,
614.6,-16.159,-195.568,-87.4489,
614.7,-16.099,-195.636,-87.4333,
614.8,-16.04,-195.703,-87.418,
614.9,-15.982,-195.769,-87.4029,
615,-15.925,-195.833,-87.388,
615.1,-15.8689,-195.897,-87.3734,
615.2,-15.8139,-195.959,-87.359,
615.3,-15.7597,-196.02,-87.3448,
615.4,-15.7065,-196.081,-87.3308,
615.5,-15.6542,-196.14,-87.3171,
615.6,-15.6028,-196.198,-87.3035,
615.7,-15.5523,-196.255,-87.2902,
615.8,-15.5026,-196.312,-87.277,
615.9,-15.4538,-196.367,-87.2641,
616,-15.4058,-196.421,-87.2513,
616.1,-15.3586,-196.475,-87.2388,
616.2,-15.3123,-196.527,-87.2264,
616.3,-15.2667,-196.579,-87.2143,
616.4,-15.2219,-196.63,-87.2023,
616.5,-15.1778,-196.679,-87.1905,
616.6,-15.1346,-196.728,-87.1789,
616.7,-15.092,-196.777,-87.1674,
616.8,-15.0502,-196.824,-87.1561,
616.9,-15.0091,-196.871,-87.145,
617,-14.9687,-196.916,-87.1341,
617.1,-14.929,-196.961,-87.1234,
617.2,-14.8899,-197.006,-87.1128,
617.3,-14.8515,-197.049,-87.1023,
617.4,-14.8138,-197.092,-87.092,
617.5,-14.7767,-197.134,-87.0819,
617.6,-14.7403,-197.175,-87.072,
617.7,-14.7044,-197.216,-87.0622,
617.8,-14.6692,-197.256,-87.0525,
617.9,-14.6346,-197.295,-87.043,
618,-14.6006,-197.333,-87.0336,
618.1,-14.5671,-197.371,-87.0244,
618.2,-14.5342,-197.409,-87.0153,
618.3,-14.5019,-197.445,-87.0064,
618.4,-14.4701,-197.481,-86.9975,
618.5,-14.4389,-197.517,-86.9889,
618.6,-14.4082,-197.551,-86.9803,
618.7,-14.378,-197.586,-86.9719,
618.8,-14.3484,-197.619,-86.9636,
618.9,-14.3192,-197.652,-86.9555,
619,-14.2905,-197.685,-86.9475,
619.1,-14.2624,-197.717,-86.9395,
619.2,-14.2347,-197.748,-86.9318,
619.3,-14.2074,-197.779,-86.9241,
619.4,-14.1807,-197.809,-86.9165,
619.5,-14.1544,-197.839,-86.9091,
619.6,-14.1285,-197.868,-86.9018,
619.7,-14.1031,-197.897,-86.8946,
619.8,-14.0781,-197.926,-86.8875,
619.9,-14.0535,-197.953,-86.8805,
620,-14.0294,-197.981,-86.8736,
620.1,-14.0056,-198.008,-86.8668,
620.2,-13.9823,-198.034,-86.8602,
620.3,-13.9594,-198.06,-86.8536,
620.4,-13.9368,-198.086,-86.8471,
620.5,-13.9147,-198.111,-86.8408,
620.6,-13.8929,-198.135,-86.8345,
620.7,-13.8715,-198.16,-86.8283,
620.8,-13.8504,-198.184,-86.8223,
620.9,-13.8297,-198.207,-86.8163,
621,-13.8094,-198.23,-86.8104,
621.1,-13.7894,-198.253,-86.8046,
621.2,-13.7698,-198.275,-86.7989,
621.3,-13.7504,-198.297,-86.7932,
621.4,-13.7314,-198.319,-86.7877,
621.5,-13.7128,-198.34,-86.7822,
621.6,-13.6944,-198.36,-86.7769,
621.7,-13.6764,-198.381,-86.7716,
621.8,-13.6587,-198.401,-86.7664,
621.9,-13.6412,-198.421,-86.7613,
622,-13.6241,-198.44,-86.7562,
622.1,-13.6072,-198.459,-86.7512,
622.2,-13.5907,-198.478,-86.7463,
622.3,-13.5744,-198.497,-86.7415,
622.4,-13.5584,-198.515,-86.7368,
622.5,-13.5427,-198.533,-86.7321,
622.6,-13.5272,-198.55,-86.7275,
622.7,-13.512,-198.567,-86.723,
622.8,-13.4971,-198.584,-86.7185,
622.9,-13.4824,-198.601,-86.7142,
623,-13.468,-198.617,-86.7098,
623.1,-13.4538,-198.633,-86.7056,
623.2,-13.4399,-198.649,-86.7014,
623.3,-13.4261,-198.665,-86.6973,
623.4,-13.4127,-198.68,-86.6932,
623.5,-13.3994,-198.695,-86.6892,
623.6,-13.3864,-198.71,-86.6853,
623.7,-13.3736,-198.724,-86.6814,
623.8,-13.361,-198.739,-86.6776,
623.9,-13.3486,-198.753,-86.6738,
624,-13.3365,-198.766,-86.6701,
624.1,-13.3245,-198.78,-86.6665,
624.2,-13.3128,-198.793,-86.6629,
624.3,-13.3012,-198.806,-86.6594,
624.4,-13.2899,-198.819,-86.6559,
624.5,-13.2787,-198.832,-86.6525,
624.6,-13.2678,-198.844,-86.6491,
624.7,-13.257,-198.857,-86.6458,
624.8,-13.2464,-198.869,-86.6426,
624.9,-13.2359,-198.881,-86.6394,
625,-13.2257,-198.892,-86.6362,
625.1,-13.2156,-198.904,-86.6331,
625.2,-13.2057,-198.915,-86.63,
625.3,-13.196,-198.926,-86.627,
625.4,-13.1864,-198.937,-86.624,
625.5,-13.177,-198.947,-86.6211,
625.6,-13.1678,-198.958,-86.6182,
625.7,-13.1587,-198.968,-86.6154,
625.8,-13.1498,-198.978,-86.6126,
625.9,-13.141,-198.988,-86.6099,
626,-13.1324,-198.998,-86.6072,
626.1,-13.1239,-199.008,-86.6045,
626.2,-13.1156,-199.017,-86.6019,
626.3,-13.1074,-199.026,-86.5993,
626.4,-13.0993,-199.036,-86.5968,
626.5,-13.0914,-199.045,-86.5943,
626.6,-13.0836,-199.053,-86.5918,
626.7,-13.076,-199.062,-86.5894,
626.8,-13.0684,-199.071,-86.587,
626.9,-13.061,-199.079,-86.5846,
627,-13.0538,-199.087,-86.5823,
627.1,-13.0466,-199.095,-86.5801,
627.2,-13.0396,-199.103,-86.5778,
627.3,-13.0327,-199.111,-86.5756,
627.4,-13.0259,-199.119,-86.5734,
627.5,-13.0192,-199.127,-86.5713,
627.6,-13.0127,-199.134,-86.5692,
627.7,-13.0062,-199.141,-86.5671,
627.8,-12.9999,-199.149,-86.5651,
627.9,-12.9937,-199.156,-86.5631,
628,-12.9875,-199.163,-86.5611,
628.1,-12.9815,-199.169,-86.5592,
628.2,-12.9756,-199.176,-86.5573,
628.3,-12.9698,-199.183,-86.5554,
628.4,-12.9641,-199.189,-86.5535,
628.5,-12.9584,-199.196,-86.5517,
628.6,-12.9529,-199.202,-86.5499,
628.7,-12.9475,-199.208,-86.5481,
628.8,-12.9421,-199.214,-86.5464,
628.9,-12.9369,-199.22,-86.5447,
629,-12.9317,-199.226,-86.543,
629.1,-12.9267,-199.232,-86.5413,
629.2,-12.9217,-199.237,-86.5397,
629.3,-12.9168,-199.243,-86.5381,
629.4,-12.912,-199.248,-86.5365,
629.5,-12.9072,-199.254,-86.5349,
629.6,-12.9026,-199.259,-86.5334,
629.7,-12.898,-199.264,-86.5319,
629.8,-12.8935,-199.269,-86.5304,
629.9,-12.8891,-199.274,-86.5289,
630,-12.8847,-199.279,-86.5275,
630.1,-12.8805,-199.284,-86.5261,
630.2,-12.8763,-199.289,-86.5247,
630.3,-12.8721,-199.294,-86.5233,
630.4,-12.8681,-199.298,-86.5219,
630.5,-12.8641,-199.303,-86.5206,
630.6,-12.8602,-199.307,-86.5193,
630.7,-12.8563,-199.312,-86.518,
630.8,-12.8525,-199.316,-86.5167,
630.9,-12.8488,-199.32,-86.5155,
631,-12.8451,-199.324,-86.5143,
631.1,-12.8415,-199.329,-86.513,
631.2,-12.838,-199.333,-86.5119,
631.3,-12.8345,-199.336,-86.5107,
631.4,-12.8311,-199.34,-86.5095,
631.5,-12.8277,-199.344,-86.5084,
631.6,-12.8244,-199.348,-86.5073,
631.7,-12.8212,-199.352,-86.5062,
631.8,-12.818,-199.355,-86.5051,
631.9,-12.8149,-199.359,-86.504,
632,-12.8118,-199.362,-86.503,
632.1,-12.8088,-199.366,-86.5019,
632.2,-12.8058,-199.369,-86.5009,
632.3,-12.8028,-199.373,-86.4999,
632.4,-12.8,-199.376,-86.4989,
632.5,-12.7971,-199.379,-86.498,
632.6,-12.7943,-199.382,-86.497,
632.7,-12.7916,-199.385,-86.4961,
632.8,-12.7889,-199.388,-86.4951,
632.9,-12.7863,-199.391,-86.4942,
633,-12.7837,-199.394,-86.4933,
633.1,-12.7811,-199.397,-86.4924,
633.2,-12.7786,-199.4,-86.4916,
633.3,-12.7761,-199.403,-86.4907,
