-35.6853 22.7821 46.4766 25.5226 6 3 3 3 1 
86.0103 37.1868 -27.6772 35.081 6 1 3 2 1 
-74.2058 8.60927 46.4034 -11.185 8 3 3 3 2 
66.8081 -34.1838 15.4698 -53.5997 11 3 1 2 2 
54.1978 -88.403 -8.52382 80.4804 13 3 3 1 1 
38.4991 56.3524 -76.9463 12.711 7 2 3 1 3 
90.2951 53.7339 82.9402 -76.3909 15 3 3 1 3 
-80.4498 18.5522 25.9926 66.7409 11 1 2 3 1 
-66.4846 29.2886 49.6689 78.8751 13 3 2 1 1 
21.6834 -42.1857 -10.1291 -96.5392 0 1 3 2 2 
44.6638 75.7866 -24.1371 13.9744 8 3 3 1 2 
-20.8167 5.47807 -21.8543 22.8492 14 3 2 3 3 
-83.7825 84.6797 68.8162 -73.0705 4 1 2 2 1 
98.9013 72.0023 -47.8622 27.3476 6 3 3 3 2 
-8.63369 -91.8455 -94.8119 -16.9774 6 3 2 2 1 
-58.4826 13.9134 92.5474 4.0376 11 2 2 1 3 
33.6344 56.0411 77.1905 -93.5484 13 1 1 1 3 
-35.5937 -51.9578 -63.7013 79.4244 4 1 2 3 3 
71.099 -98.0285 73.9738 -33.3781 3 3 2 1 2 
16.7821 -66.4907 81.1335 99.4629 9 2 2 3 2 
24.8512 70.9342 -78.0206 93.4019 1 3 3 1 1 
-48.8937 76.1528 7.6693 -21.659 10 3 3 2 2 
17.3803 19.7607 50.4135 -49.0097 11 3 1 3 1 
-39.2071 -29.9661 -83.3918 -30.2225 2 2 1 1 1 
7.60216 -8.15149 63.6769 -38.4075 7 3 2 2 3 
-11.3559 -6.04572 -54.4603 41.9416 9 3 3 3 3 
44.5296 8.31629 -17.5817 84.637 4 3 1 3 1 
-80.6635 -21.012 -11.7161 -94.0611 13 1 1 1 1 
-23.7526 12.9978 83.3613 95.4649 12 3 2 1 1 
-53.8804 93.9207 -4.99588 84.5698 4 1 2 3 3 
70.8914 -7.3336 62.4683 64.861 4 3 1 3 1 
58.8672 17.2765 -65.0624 78.5821 10 2 2 3 3 
86.7367 -15.4149 19.7363 27.0608 7 3 1 1 2 
